age,income_range,risk_profile,occupation,age_range_sturges,primer_producto,segundo_producto,dias_entre_productos,antiguedad_cliente,checking_account,savings_account,credit_card,investment,numero_productos,combinacion_productos,entertainment_count,food_count,health_count,shopping_count,supermarket_count,transport_count,travel_count,transacciones_promedio_mensual.x,variacion_mensual_promedio.x,variacion_mensual_promedio_pct.x,n_meses_activos,recencia_transaccion,categoria_favorita_monto,total_spend_fav,fecha_primer_producto_ts,fecha_segundo_producto_ts,mes_mas_compras.x_ts,mes_mayor_monto.x_ts
19,2,1,78,0,0,4,0.0,944,True,False,False,False,1,0,0,3,0,3,3,3,1,2.16666666666667,62.594,0.512340552890028,6,6,6,6.3059102568289775,1622505600000000000,-2208988800000000000,1677628800000000000,1701388800000000000
54,0,2,0,5,0,3,35.0,842,True,False,False,True,2,3,1,1,2,1,3,0,0,1.33333333333333,4.19,1.40327319433313,6,18,4,5.647247395914323,1631318400000000000,1634342400000000000,1685577600000000000,1685577600000000000
23,0,2,12,0,4,2,168.0,1058,False,True,False,False,2,5,0,0,0,1,2,2,0,1.0,-12.6825,0.0844072193582014,5,58,5,5.428248536140067,1612656000000000000,1627171200000000000,1672531200000000000,1672531200000000000
63,2,1,47,6,0,4,0.0,790,True,False,False,False,1,0,1,3,1,0,4,3,0,1.5,17.26,1.81032632278907,8,1,4,6.258816353086512,1635811200000000000,-2208988800000000000,1701388800000000000,1701388800000000000
30,3,2,71,1,4,1,58.0,572,False,True,True,False,2,4,2,1,1,2,6,0,1,1.625,-17.0942857142857,1.05074609848974,8,42,6,7.312293290802648,1654646400000000000,1659657600000000000,1698796800000000000,1677628800000000000
62,0,2,41,6,4,1,105.0,814,False,True,True,False,2,4,1,0,1,1,1,3,0,1.16666666666667,-11.038,1.97185212287094,6,6,2,5.750188847470357,1633737600000000000,1642809600000000000,1693526400000000000,1685577600000000000
21,1,0,60,0,4,4,0.0,556,False,True,False,False,1,7,1,4,0,2,2,5,0,1.55555555555556,32.8175,3.34770856365376,9,5,1,5.557677121995229,1656028800000000000,-2208988800000000000,1701388800000000000,1701388800000000000
38,1,0,73,3,0,2,632.0,1444,True,False,False,False,2,2,0,1,0,1,2,2,0,1.5,-41.6333333333333,0.421730115673686,4,14,4,5.854899987651756,1579305600000000000,1633910400000000000,1677628800000000000,1677628800000000000
40,3,2,13,3,0,2,545.0,1424,True,False,False,False,2,2,2,2,1,1,2,1,0,1.28571428571429,-14.3683333333333,0.587221185104618,7,15,4,4.959412172685121,1581033600000000000,1628121600000000000,1682899200000000000,1677628800000000000
68,0,2,21,7,0,1,684.0,1080,True,False,True,False,2,1,1,1,0,2,2,1,0,1.4,-3.01,0.558910687778027,5,11,3,5.161924741642482,1610755200000000000,1669852800000000000,1690848000000000000,1690848000000000000
29,1,0,70,1,2,5,133.0,994,False,True,False,False,2,5,3,1,2,1,2,2,1,1.5,0.0985714285714384,23.0008741618468,8,28,6,7.21375358046969,1618185600000000000,1629676800000000000,1680307200000000000,1693526400000000000
45,0,2,65,4,4,1,509.0,1193,False,True,True,False,2,4,0,6,0,2,6,2,1,1.7,-3.58888888888889,0.33348185744642,10,49,6,6.523885308310562,1600992000000000000,1644969600000000000,1677628800000000000,1680307200000000000
48,0,2,8,4,0,3,121.0,574,True,False,False,True,2,3,0,2,0,1,3,1,1,1.14285714285714,-15.7433333333333,1.32770091321307,7,34,6,7.184720126592713,1654473600000000000,1664928000000000000,1685577600000000000,1682899200000000000
35,3,2,49,2,0,4,0.0,1194,True,False,False,False,1,0,0,1,1,1,3,3,0,1.8,32.8325,0.23177359515285,5,7,5,5.86510735823146,1600905600000000000,-2208988800000000000,1677628800000000000,1701388800000000000
25,0,2,66,1,4,2,74.0,673,False,True,False,False,2,5,1,3,0,2,4,0,0,1.66666666666667,63.306,2.16814548088601,6,85,4,6.096477502373692,1645920000000000000,1652313600000000000,1682899200000000000,1696118400000000000
23,3,2,67,0,4,4,0.0,1434,False,True,False,False,1,7,1,1,2,0,3,3,0,1.66666666666667,-65.066,-0.267437654648389,6,92,2,6.080299260808473,1580169600000000000,-2208988800000000000,1675209600000000000,1675209600000000000
43,1,0,20,3,0,3,366.0,1441,True,False,False,True,2,3,2,0,1,0,1,0,1,1.25,113.596666666667,4.28171002526968,4,34,6,5.835921231346632,1579564800000000000,1611187200000000000,1698796800000000000,1698796800000000000
59,0,2,6,6,2,0,95.0,491,True,False,False,False,2,2,1,2,2,2,2,1,0,1.42857142857143,16.9066666666667,0.911584365170832,7,5,2,6.227228129778294,1661644800000000000,1669852800000000000,1690848000000000000,1690848000000000000
45,1,0,24,4,0,4,0.0,1283,True,False,False,False,1,0,0,1,1,1,2,1,0,1.2,118.6325,3.23896447856625,5,74,2,6.161586996444939,1593216000000000000,-2208988800000000000,1696118400000000000,1696118400000000000
50,2,1,44,4,4,4,0.0,379,False,True,False,False,1,7,0,2,1,2,4,1,0,1.25,60.7828571428571,0.773152614693663,8,22,2,6.20615244997453,1671321600000000000,-2208988800000000000,1682899200000000000,1701388800000000000
33,1,0,42,2,4,3,672.0,1197,False,True,False,True,2,6,2,2,0,1,0,2,1,1.33333333333333,-7.07800000000001,1.06588261865015,6,26,6,6.266801987152888,1600646400000000000,1658707200000000000,1680307200000000000,1690848000000000000
56,3,2,79,5,4,1,82.0,833,False,True,True,False,2,4,0,3,0,2,2,2,1,1.42857142857143,-196.27,0.914109388599335,7,10,6,7.1464571692122,1632096000000000000,1639180800000000000,1693526400000000000,1677628800000000000
67,2,1,87,7,4,1,315.0,905,False,True,True,False,2,4,0,2,2,1,5,0,0,1.11111111111111,-17.705,1.8990028764675,9,16,2,6.696898435975358,1625875200000000000,1653091200000000000,1672531200000000000,1682899200000000000
51,0,2,50,5,0,4,0.0,878,True,False,False,False,1,0,3,5,1,1,2,1,0,1.625,83.1085714285714,1.37059747540483,8,1,2,6.010261767190888,1628208000000000000,-2208988800000000000,1701388800000000000,1701388800000000000
53,2,1,69,5,4,4,0.0,832,False,True,False,False,1,7,1,3,0,1,2,1,1,1.5,17.198,0.970718790539431,6,119,6,6.988855888418686,1632182400000000000,-2208988800000000000,1672531200000000000,1677628800000000000
27,1,0,28,1,4,3,551.0,1173,False,True,False,True,2,6,1,1,1,1,2,1,1,1.33333333333333,-356.342,0.381834429831988,6,19,6,7.533153456986461,1602720000000000000,1650326400000000000,1682899200000000000,1677628800000000000
35,1,0,18,2,4,4,0.0,829,False,True,False,False,1,7,0,1,0,2,4,3,0,1.11111111111111,-13.015,0.442836391713514,9,48,5,5.759721626980309,1632441600000000000,-2208988800000000000,1680307200000000000,1680307200000000000
61,2,1,31,6,0,1,420.0,1452,True,False,True,False,2,1,3,0,0,0,2,2,0,1.4,-31.175,-0.199837415336222,5,5,4,5.766882461599425,1578614400000000000,1614902400000000000,1675209600000000000,1675209600000000000
